index,freq
399,220.703125
400,218.750000
401,216.796875
402,214.843750
403,212.890625
404,210.937500
405,208.984375
406,207.031250
407,205.078125
408,203.125000
409,201.171875
410,199.218750
411,197.265625
412,195.312500
413,193.359375
414,191.406250
415,189.453125
416,187.500000
417,185.546875
418,183.593750
419,181.640625
420,179.687500
421,177.734375
422,175.781250
423,173.828125
424,171.875000
425,169.921875
426,167.968750
427,166.015625
428,164.062500
429,162.109375
430,160.156250
431,158.203125
432,156.250000
433,154.296875
434,152.343750
435,150.390625
436,148.437500
437,146.484375
438,144.531250
439,142.578125
440,140.625000
441,138.671875
442,136.718750
443,134.765625
444,132.812500
445,130.859375
446,128.906250
447,126.953125
448,125.000000
449,123.046875
450,121.093750
451,119.140625
452,117.187500
453,115.234375
454,113.281250
455,111.328125
456,109.375000
457,107.421875
458,105.468750
459,103.515625
460,101.562500
461,99.609375
462,97.656250
463,95.703125
464,93.750000
465,91.796875
466,89.843750
467,87.890625
468,85.937500
469,83.984375
470,82.031250
471,80.078125
472,78.125000
473,76.171875
474,74.218750
475,72.265625
476,70.312500
477,68.359375
478,66.406250
479,64.453125
480,62.500000
481,60.546875
482,58.593750
483,56.640625
484,54.687500
485,52.734375
486,50.781250
487,48.828125
488,46.875000
489,44.921875
490,42.968750
491,41.015625
492,39.062500
493,37.109375
494,35.156250
495,33.203125
496,31.250000
497,29.296875
498,27.343750
499,25.390625
500,23.437500
501,21.484375
502,19.531250
503,17.578125
504,15.625000
505,13.671875
506,11.718750
507,9.765625
508,7.812500
509,5.859375
510,3.906250
511,1.953125
