index,freq
0,0.000000
1,1.953125
2,3.906250
3,5.859375
4,7.812500
5,9.765625
6,11.718750
7,13.671875
8,15.625000
9,17.578125
10,19.531250
11,21.484375
12,23.437500
13,25.390625
14,27.343750
15,29.296875
16,31.250000
17,33.203125
18,35.156250
19,37.109375
20,39.062500
21,41.015625
22,42.968750
23,44.921875
24,46.875000
25,48.828125
26,50.781250
27,52.734375
28,54.687500
29,56.640625
30,58.593750
31,60.546875
32,62.500000
33,64.453125
34,66.406250
35,68.359375
36,70.312500
37,72.265625
38,74.218750
39,76.171875
40,78.125000
41,80.078125
42,82.031250
43,83.984375
44,85.937500
45,87.890625
46,89.843750
47,91.796875
48,93.750000
49,95.703125
50,97.656250
51,99.609375
52,101.562500
53,103.515625
54,105.468750
55,107.421875
56,109.375000
57,111.328125
58,113.281250
59,115.234375
60,117.187500
61,119.140625
62,121.093750
63,123.046875
64,125.000000
65,126.953125
66,128.906250
67,130.859375
68,132.812500
69,134.765625
70,136.718750
71,138.671875
72,140.625000
73,142.578125
74,144.531250
75,146.484375
76,148.437500
77,150.390625
78,152.343750
79,154.296875
80,156.250000
81,158.203125
82,160.156250
83,162.109375
84,164.062500
85,166.015625
86,167.968750
87,169.921875
88,171.875000
89,173.828125
90,175.781250
91,177.734375
92,179.687500
93,181.640625
94,183.593750
95,185.546875
96,187.500000
97,189.453125
98,191.406250
99,193.359375
100,195.312500
101,197.265625
102,199.218750
103,201.171875
104,203.125000
105,205.078125
106,207.031250
107,208.984375
108,210.937500
109,212.890625
110,214.843750
111,216.796875
112,218.750000
113,220.703125
114,222.656250
115,224.609375
116,226.562500
117,228.515625
118,230.468750
119,232.421875
120,234.375000
121,236.328125
122,238.281250
123,240.234375
124,242.187500
125,244.140625
126,246.093750
127,248.046875
128,250.000000
129,251.953125
130,253.906250
131,255.859375
132,257.812500
133,259.765625
134,261.718750
135,263.671875
136,265.625000
137,267.578125
138,269.531250
139,271.484375
140,273.437500
141,275.390625
142,277.343750
143,279.296875
144,281.250000
145,283.203125
146,285.156250
147,287.109375
148,289.062500
149,291.015625
150,292.968750
151,294.921875
152,296.875000
153,298.828125
154,300.781250
155,302.734375
156,304.687500
157,306.640625
158,308.593750
159,310.546875
160,312.500000
161,314.453125
162,316.406250
163,318.359375
164,320.312500
165,322.265625
166,324.218750
167,326.171875
168,328.125000
169,330.078125
170,332.031250
171,333.984375
172,335.937500
173,337.890625
174,339.843750
175,341.796875
176,343.750000
177,345.703125
178,347.656250
179,349.609375
180,351.562500
181,353.515625
182,355.468750
183,357.421875
184,359.375000
185,361.328125
186,363.281250
187,365.234375
188,367.187500
189,369.140625
190,371.093750
191,373.046875
192,375.000000
193,376.953125
194,378.906250
195,380.859375
196,382.812500
197,384.765625
198,386.718750
199,388.671875
200,390.625000
201,392.578125
202,394.531250
203,396.484375
204,398.437500
205,400.390625
206,402.343750
207,404.296875
208,406.250000
209,408.203125
210,410.156250
211,412.109375
212,414.062500
213,416.015625
214,417.968750
215,419.921875
216,421.875000
217,423.828125
218,425.781250
219,427.734375
220,429.687500
221,431.640625
222,433.593750
223,435.546875
224,437.500000
225,439.453125
226,441.406250
227,443.359375
228,445.312500
229,447.265625
230,449.218750
231,451.171875
232,453.125000
233,455.078125
234,457.031250
235,458.984375
236,460.937500
237,462.890625
238,464.843750
239,466.796875
240,468.750000
241,470.703125
242,472.656250
243,474.609375
244,476.562500
245,478.515625
246,480.468750
247,482.421875
248,484.375000
249,486.328125
250,488.281250
251,490.234375
252,492.187500
253,494.140625
254,496.093750
255,498.046875
256,500.000000
257,498.046875
258,496.093750
259,494.140625
260,492.187500
261,490.234375
262,488.281250
263,486.328125
264,484.375000
265,482.421875
266,480.468750
267,478.515625
268,476.562500
269,474.609375
270,472.656250
271,470.703125
272,468.750000
273,466.796875
274,464.843750
275,462.890625
276,460.937500
277,458.984375
278,457.031250
279,455.078125
280,453.125000
281,451.171875
282,449.218750
283,447.265625
284,445.312500
285,443.359375
286,441.406250
287,439.453125
288,437.500000
289,435.546875
290,433.593750
291,431.640625
292,429.687500
293,427.734375
294,425.781250
295,423.828125
296,421.875000
297,419.921875
298,417.968750
299,416.015625
300,414.062500
301,412.109375
302,410.156250
303,408.203125
304,406.250000
305,404.296875
306,402.343750
307,400.390625
308,398.437500
309,396.484375
310,394.531250
311,392.578125
312,390.625000
313,388.671875
314,386.718750
315,384.765625
316,382.812500
317,380.859375
318,378.906250
319,376.953125
320,375.000000
321,373.046875
322,371.093750
323,369.140625
324,367.187500
325,365.234375
326,363.281250
327,361.328125
328,359.375000
329,357.421875
330,355.468750
331,353.515625
332,351.562500
333,349.609375
334,347.656250
335,345.703125
336,343.750000
337,341.796875
338,339.843750
339,337.890625
340,335.937500
341,333.984375
342,332.031250
343,330.078125
344,328.125000
345,326.171875
346,324.218750
347,322.265625
348,320.312500
349,318.359375
350,316.406250
351,314.453125
352,312.500000
353,310.546875
354,308.593750
355,306.640625
356,304.687500
357,302.734375
358,300.781250
359,298.828125
360,296.875000
361,294.921875
362,292.968750
363,291.015625
364,289.062500
365,287.109375
366,285.156250
367,283.203125
368,281.250000
369,279.296875
370,277.343750
371,275.390625
372,273.437500
373,271.484375
374,269.531250
375,267.578125
376,265.625000
377,263.671875
378,261.718750
379,259.765625
380,257.812500
381,255.859375
382,253.906250
383,251.953125
384,250.000000
385,248.046875
386,246.093750
387,244.140625
388,242.187500
389,240.234375
390,238.281250
391,236.328125
392,234.375000
393,232.421875
394,230.468750
395,228.515625
396,226.562500
397,224.609375
398,222.656250
